amount,esan,source
1k,ikọbọ,p40
1.5k,ikọbọ bi ekpẹnin (= ikọbọ bi ukhiọnmẹn),p40
2k,ikọbọ eva,p40
3k,tọlọ (= ikọbọ ea),p40
4k,ikọbọ enẹn,p40
5k,sisi,p40
10k,ukpi isene,p40
15k,ukpi isene bi sisi,p40
20k,isene eva,p40
25k,isene eva bi sisi,p40
30k,isene ea,p40
40k,isene enẹn,p40
50k,isene isẹn,p40
60k,isene ehan,p40
70k,isene ihiọn,p40
80k,isene elẹnlẹn,p40
90k,isene isilin,p40
₦1,isene igbe,p40
₦1.50,isene igbehẹnlẹn,p40
₦2,ikpẹn ọkpa (= pound ọkpa),p40
₦3,ikpẹn ọkpa bi isene igbe,p40
₦4,ikpẹn eva,p41
₦5,ikpẹn eva bi isene igbe,p41
₦6,ikpẹn ea,p41
₦7,ikpẹn ea bi isene igbe,p41
₦8,ikpẹn enẹn,p41
₦9,ikpẹn enẹn bi isene igbe,p41
₦10,ikpẹn isẹn,p41
₦15,ikpẹn ihiọn bi isene igbe,p41
₦20,ikpẹn igbe,p41
₦25,ikpẹn igbeva bi isene igbe,p41
₦30,ikpẹn igbehẹnlẹn,p41
₦40,ikpẹn ujie,p41
₦50,ikpẹn isẹn yan ujie,p41
₦55,ikpẹn eva bi isenigbe ribhi ikpẹn ọgban,p41
₦60,ikpẹn ọgban,p41
₦70,ikpẹn isẹn yan ọgban,p41
₦80,ikpẹn egbọlọ eva,p41
₦95,ikpẹn eva bi isene igbe iri bhi ukhiọmẹn ẹkpa,p41
₦100,ukhiọmẹn ẹkpa,p41
₦105,ikpẹn eva bi isenigbe yan ukhiọmẹn ẹkpa,p41
₦110,ikpẹn-isẹn yan ukhiọmẹn ẹkpa,p41
₦120,ikpẹn igbe yan ukhiọmẹn ẹkpa (= ikpẹn egbọlọ ea),p41
₦130,ikpẹn igbehẹnlẹn yan ukhiọmẹn ẹkpa,p41
₦140,ikpẹn igbe yan egbọlọ ea,p41
₦150,ikpẹn isẹn ribhi egbọlọ enẹn,p41
₦160,ikpẹn egbọlọ enẹn,p41
₦170,ikpẹn isẹn yan egbọlọ enẹn,p41
₦180,ikpẹn egbọlọ enẹn bi igbe,p41
₦190,ikpẹn isẹn ribhi ẹkpa ọkpa,p41
₦200,ẹkpa ọkpa,p41
₦250,isẹnyan ujie bi ẹkpa ọkpa,p42
₦300,ẹkpa ọkpa bi ukhiọmẹn,p42
₦350,isẹn yan ujie ribhi ẹkpa eva,p42
₦400,ẹkpa eva,p42
₦450,isẹn yan ujie yan ẹkpa eva,p42
₦500,ẹkpa eva bi ukhiọmẹn,p42
