value,esan,alt,source
0,ihoi,ihohoo,p36
0.5,ukhiọnmẹn,,p36
1,ọkpa,ọọ,p36
2,eva,,p36
3,ea,,p36
4,enẹn,,p36
5,isẹn,,p36
6,ehan,,p36
7,ihiọn,ihilọn,p36
8,elẹnlẹn,,p36
9,isinlin,,p36
10,igbe,,p36
11,ugbolọo,,p36
12,igbeva,,p36
13,igbelea,,p36
14,igbenẹn,,p36
15,igbehẹnlẹn,,p36
16,enẹn ribhi ujie,,p36
17,ea ribhi ujie,,p36
18,eva ribhi ujie,,p37
19,ọkpa ribhi ujie,,p37
20,ujie,ọgbọlọ / uhe / ue,p37
21,ọkpa yan ujie,,p37
22,eva yan ujie,,p37
23,ea yan ujie,,p37
24,enẹn yan ujie,,p37
25,isẹn yan ujie,,p37
26,ehan yan ujie,,p37
27,ihiọn yan ujie,,p37
28,elẹnlẹn yan ujie,,p37
29,isinlin yan ujie,,p37
30,ọgban,,p37
31,ọkpa yan ọgban,,p37
32,eva yan ọgban,,p37
33,ea yan ọgban,,p37
34,enẹn yan ọgban,,p37
35,isẹn yan ọgban,,p37
40,egbọlọ eva,uheva,p37
45,isẹn yan egbọlọ eva,,p37
50,igbe yan egbọlọ eva,ikigbesi iyeha,p37
60,egbọlọ ea,iyieha,p37
70,igbe yan egbọlọ ea,ikigbesi iyenẹn,p37
80,egbọlọ enẹn,iyenẹn,p37
90,igbe yan egbọlọ enẹn,ikigbe si iyisẹn,p37
100,egbọlọ isẹn,iyisẹn,p37
