esan,english,type,source
ọbo,native doctor,noun,p17
ọsa,monkey,noun,p17
ọka,corn,noun,p17
ene nẹ,capital letters,phrase,p5
eni khere,small letters,phrase,p5
ojie,king,noun,p58
agogo,clock,noun,p59
udo,stone,noun,p19
uze,axe,noun,p19
uwa,house,noun,p19
edọnmẹn,revision,noun,p21
amẹn,water,noun,p24
ekẹn,sand,noun,p24
edẹn,grey hairs,noun,p24
uvin,coconut,noun,p25
udin,palm tree,noun,p25
ẹdin,palm fruits,noun,p25
oran,wood,noun,p22
ẹkan,coral bead,noun,p23
ọtan,squirrel,noun,p23
itọn,dirt,noun,p26
asọn,night,noun,p26
ọmọn,baby,noun,p26
akun,waist,noun,p26
utun,mushroom,noun,p27
unun,mouth,noun,p27
ẹbhe,goat,noun,p29
ibha,you people,pronoun,p30
ẹbholo,people,noun,p30
ugbo,farm,noun,p31
ogba,fence,noun,p31
igbọn,slave,noun,p31
igbudu,trap,noun,p31
egbe,body,noun,p31
akhe,pot,noun,p31
ọkhọ,fowl,noun,p32
ẹkhu,door,noun,p32
okhọnlẹn,fight,noun,p32
ọkhọn,pepper fruit,noun,p32
ọkpa,cock,noun,p33
ukpu,cup,noun,p33
ẹkpa,bag,noun,p33
okpodu,masquerade,noun,p33
okpẹa,man,noun,p33
ọgho,respect,noun,p34
igho,money,noun,p34
eghẹlẹ,procrastination,noun,p34
ẹghele,time,noun,p34
ughulu,vulture,noun,p34
iki eminlin,counting numbers,phrase,p36
ikọbọ,kobo,noun,p40
sisi,five kobo,noun,p40
avan,lightning,noun,p45
awa,dog,noun,p46
ekita,dog,noun,p46
ẹwe,goat,noun,p46
oghogho,sheep,noun,p46
ohuan,ram,noun,p46
ọkhọkhọ,hen,noun,p46
onogbo,cat,noun,p46
izagua,duck,noun,p46
ẹmena,cow,noun,p46
imenu,cow,noun,p46
une,pig,noun,p46
igbenekhukhu,pigeon,noun,p46
ọkhuẹ,parrot,noun,p47
akasi,horse,noun,p47
tonotono,turkey,noun,p47
uzo,antelope,noun,p47
ẹruẹ,deer,noun,p47
okhuẹnlẹn,grass cutter,noun,p47
atanakpa,tiger,noun,p47
oriẹi,fox,noun,p47
eni,elephant,noun,p47
esi,wild pig,noun,p47
oduma,lion,noun,p47
emẹnlẹn,monkey,noun,p47
obhele,monkey,noun,p47
uki,moon,noun,p49
ọgberan,buffalo,noun,p48
ọkhanlẹn,snake,noun,p48
ikpin,guinea fowl,noun,p48
akpin,scorpion,noun,p48
eluọ,porcupine,noun,p48
urubhokho,python,noun,p48
afianmẹn,bird,noun,p48
alokhin,chameleon,noun,p48
ahiẹnlẹnkpẹn,hawk,noun,p48
ahuan,hawk,noun,p48
ei,tortoise,noun,p52
ọkha,folk tale,noun,p52
uhọnmọn,back,noun,p52
okhuo,woman,noun,p53
olumun,local pear,noun,p51
ọmọn obọ,baby (in arms),phrase,p55
okhan,infant,noun,p55
edọnman,old man,noun,p56
ọnojie,king,noun,p57
emuada,beaded crown,noun,p57
ada,ceremonial sword,noun,p57
eben,ceremonial staff,noun,p57
ọviẹn,servant,noun,p58
ikẹnkẹn,bicycle,noun,p59
ukpọnmanku,plate,noun,p59
